book	chapter	verse	title	body
Psalms	88	1	Psalms 88:1	 〔 可 拉 後 裔 的 詩 歌 、 就 是 以 斯 拉 人 希 幔 的 訓 誨 詩 、 交 與 伶 長 、 調 用 麻 哈 拉 利 暗 俄 。 〕 耶 和 華 拯 救 我 的 　 神 阿 、 我 晝 夜 在 你 面 前 呼 籲 。 
Psalms	88	2	Psalms 88:2	 願 我 的 禱 告 達 到 你 面 前 ． 求 你 側 耳 聽 我 的 呼 求 ． 
Psalms	88	3	Psalms 88:3	 因 為 我 心 裡 滿 了 患 難 、 我 的 性 命 臨 近 陰 間 。 
Psalms	88	4	Psalms 88:4	 我 算 和 下 坑 的 人 同 列 、 如 同 無 力 的 人 一 樣 。 〔 無 力 或 作 沒 有 幫 助 〕 
Psalms	88	5	Psalms 88:5	 我 被 丟 在 死 人 中 、 好 像 被 殺 的 人 、 躺 在 墳 墓 裡 ． 他 們 是 你 不 再 記 念 的 、 與 你 隔 絕 了 。 
Psalms	88	6	Psalms 88:6	 你 把 我 放 在 極 深 的 坑 裡 、 在 黑 暗 地 方 、 在 深 處 。 
Psalms	88	7	Psalms 88:7	 你 的 忿 怒 重 壓 我 身 ． 你 用 一 切 的 波 浪 困 住 我 。 〔 細 拉 〕 
Psalms	88	8	Psalms 88:8	 你 把 我 所 認 識 的 隔 在 遠 處 、 使 我 為 他 們 所 憎 惡 ． 我 被 拘 困 、 不 得 出 來 。 
Psalms	88	9	Psalms 88:9	 我 的 眼 睛 、 因 困 苦 而 乾 癟 。 耶 和 華 阿 、 我 天 天 求 告 你 、 向 你 舉 手 。 
Psalms	88	10	Psalms 88:10	 你 豈 要 行 奇 事 給 死 人 看 麼 ． 難 道 陰 魂 還 能 起 來 稱 讚 你 麼 ． 〔 細 拉 〕 
Psalms	88	11	Psalms 88:11	 豈 能 在 墳 墓 裡 述 說 你 的 慈 愛 麼 ． 豈 能 在 滅 亡 中 述 說 你 的 信 實 麼 ． 
Psalms	88	12	Psalms 88:12	 你 的 奇 事 、 豈 能 在 幽 暗 裡 被 知 道 麼 ． 你 的 公 義 豈 能 在 忘 記 之 地 被 知 道 麼 。 
Psalms	88	13	Psalms 88:13	 耶 和 華 阿 、 我 呼 求 你 ． 我 早 晨 的 禱 告 要 達 到 你 面 前 。 
Psalms	88	14	Psalms 88:14	 耶 和 華 阿 、 你 為 何 丟 棄 我 ． 為 何 掩 面 不 顧 我 。 
Psalms	88	15	Psalms 88:15	 我 自 幼 受 苦 、 幾 乎 死 亡 ． 我 受 你 的 驚 恐 、 甚 至 慌 張 。 
Psalms	88	16	Psalms 88:16	 你 的 烈 怒 漫 過 我 身 ． 你 的 驚 嚇 、 把 我 剪 除 。 
Psalms	88	17	Psalms 88:17	 這 些 終 日 如 水 環 繞 我 、 一 齊 都 來 圍 困 我 。 
Psalms	88	18	Psalms 88:18	 你 把 我 的 良 朋 密 友 隔 在 遠 處 、 使 我 所 認 識 的 人 、 進 入 黑 暗 裡 。 
