book	chapter	verse	title	body
Isaiah	13	1	Isaiah 13:1	 亞 摩 斯 的 兒 子 以 賽 亞 得 默 示 論 巴 比 倫 。 
Isaiah	13	2	Isaiah 13:2	 應 當 在 淨 光 的 山 豎 立 大 旗 、 向 群 眾 揚 聲 招 手 、 使 他 們 進 入 貴 冑 的 門 。 
Isaiah	13	3	Isaiah 13:3	 我 吩 咐 我 所 挑 出 來 的 人 ． 我 招 呼 我 的 勇 士 、 就 是 那 矜 誇 高 傲 之 輩 、 為 要 成 就 我 怒 中 所 定 的 。 
Isaiah	13	4	Isaiah 13:4	 山 間 有 多 人 的 聲 音 、 好 像 是 大 國 人 民 。 有 許 多 國 的 民 聚 集 鬨 嚷 的 聲 音 ． 這 是 萬 軍 之 耶 和 華 點 齊 軍 隊 、 豫 備 打 仗 。 
Isaiah	13	5	Isaiah 13:5	 他 們 從 遠 方 來 、 從 天 邊 來 、 就 是 耶 和 華 並 他 惱 恨 的 兵 器 、 要 毀 滅 這 全 地 。 
Isaiah	13	6	Isaiah 13:6	 你 們 要 哀 號 、 因 為 耶 和 華 的 日 子 臨 近 了 ． 這 日 來 到 、 好 像 毀 滅 從 全 能 者 來 到 。 
Isaiah	13	7	Isaiah 13:7	 所 以 人 手 都 必 軟 弱 、 人 心 都 必 消 化 。 
Isaiah	13	8	Isaiah 13:8	 他 們 必 驚 惶 悲 痛 ． 愁 苦 必 將 他 們 抓 住 ． 他 們 疼 痛 、 好 像 產 難 的 婦 人 一 樣 ． 彼 此 驚 奇 相 看 、 臉 如 火 焰 。 
Isaiah	13	9	Isaiah 13:9	 耶 和 華 的 日 子 臨 到 、 必 有 殘 忍 、 忿 恨 、 烈 怒 ． 使 這 地 荒 涼 、 從 其 中 除 滅 罪 人 。 
Isaiah	13	10	Isaiah 13:10	 天 上 的 眾 星 群 宿 、 都 不 發 光 ． 日 頭 一 出 、 就 變 黑 暗 、 月 亮 也 不 放 光 。 
Isaiah	13	11	Isaiah 13:11	 我 必 因 邪 惡 、 刑 罰 世 界 、 因 罪 孽 、 刑 罰 惡 人 ． 使 驕 傲 人 的 狂 妄 止 息 、 制 伏 強 暴 人 的 狂 傲 。 
Isaiah	13	12	Isaiah 13:12	 我 必 使 人 比 精 金 還 少 、 使 人 比 俄 斐 純 金 更 少 。 
Isaiah	13	13	Isaiah 13:13	 我 萬 軍 之 耶 和 華 在 忿 恨 中 發 烈 怒 的 日 子 、 必 使 天 震 動 、 使 地 搖 撼 、 離 其 本 位 。 
Isaiah	13	14	Isaiah 13:14	 人 必 像 被 追 趕 的 鹿 、 像 無 人 收 聚 的 羊 、 各 歸 回 本 族 、 各 逃 到 本 土 。 
Isaiah	13	15	Isaiah 13:15	 凡 被 仇 敵 追 上 的 必 被 刺 死 ． 凡 被 捉 住 的 、 必 被 刀 殺 。 
Isaiah	13	16	Isaiah 13:16	 他 們 的 嬰 孩 、 必 在 他 們 眼 前 摔 碎 ． 他 們 的 房 屋 、 必 被 搶 奪 ． 他 們 的 妻 子 、 必 被 玷 污 。 
Isaiah	13	17	Isaiah 13:17	 我 必 激 動 瑪 代 人 來 攻 擊 他 們 ． 瑪 代 人 不 注 重 銀 子 、 也 不 喜 愛 金 子 。 
Isaiah	13	18	Isaiah 13:18	 他 們 必 用 弓 擊 碎 少 年 人 、 不 憐 憫 婦 人 所 生 的 、 眼 也 不 顧 惜 孩 子 。 
Isaiah	13	19	Isaiah 13:19	 巴 比 倫 素 來 為 列 國 的 榮 耀 、 為 迦 勒 底 人 所 矜 誇 的 華 美 、 必 像 　 神 所 傾 覆 的 所 多 瑪 蛾 摩 拉 一 樣 。 
Isaiah	13	20	Isaiah 13:20	 其 內 必 永 無 人 煙 、 世 世 代 代 無 人 居 住 ． 亞 拉 伯 人 也 不 在 那 裡 支 搭 帳 棚 ． 牧 羊 的 人 、 也 不 使 羊 群 臥 在 那 裡 。 
Isaiah	13	21	Isaiah 13:21	 只 有 曠 野 的 走 獸 臥 在 那 裡 ． 咆 哮 的 獸 滿 了 房 屋 ． 鴕 鳥 住 在 那 裡 ． 野 山 羊 在 那 裡 跳 舞 。 
Isaiah	13	22	Isaiah 13:22	 豺 狼 必 在 他 宮 中 呼 號 ． 野 狗 必 在 他 華 美 殿 內 吼 叫 ． 巴 比 倫 受 罰 的 時 候 臨 近 、 他 的 日 子 、 必 不 長 久 。 
